Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2026,0.00176261976456873,0.00123627377630134,0.00241377630010368,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00952926931558206,0.00801676328242026,0.011213061776621501,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2026,0.0015239061377575898,0.0010530449250791701,0.00211523162809685,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00826642491308597,0.00681008798423785,0.00987023170868186,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2026,0.00167238978935089,0.0011572323724315101,0.00234488878144677,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00910016780046634,0.00762892891143322,0.010778040167668,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2026,0.0013036825316305,0.000886446983899249,0.00182812760199856,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0070565854523528,0.00591388153143507,0.008394778757649579,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2027,0.00150954330379981,0.00103704383845668,0.0021104606456401,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00817992940520056,0.00679375528376764,0.00973370626411237,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2027,0.0017606532321100099,0.00123485268242044,0.00241109263077859,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.009521207271757051,0.00800818789041175,0.0112026919523029,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2027,0.0015224359103816099,0.00105221025507964,0.00211259572191661,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.008259740518596171,0.00680486436895668,0.00986207666673175,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2027,0.0016689752735745901,0.00115499824757858,0.00233941030719624,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00908561564907159,0.00761479192283139,0.0107620451145165,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2027,0.00130177955634314,0.000885161155250902,0.0018250103935504298,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.007047986350301441,0.005906155583254121,0.00838376221566861,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2028,0.00150665967817155,0.00103497245535623,0.00210612148639362,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00816671954308803,0.006781699564812581,0.009716779212773169,GBD,Other
